last_name, first_name,player_id,year,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Andrus, Elvis,462101,2019,.401,.311,.315,88.4,7.2,32.5,3.5,4.5,34.8,61.2,32.6,52.3,18.7,24.3,4.7,26.6,
Ramos, Wilson,467092,2019,.398,.314,.328,90,-0.1,25.8,4.7,3.7,42.5,74.9,34.1,63.4,13.8,19.9,2.9,22.8,
Santana, Carlos,467793,2019,.480,.367,.384,91.8,11.7,29.1,9.6,5.8,44.9,63.7,17.9,46.3,26.3,20.8,6.6,25.7,
Belt, Brandon,474832,2019,.457,.346,.349,87.3,22.4,41.4,8.7,9.7,35.7,75.3,22.7,30,33.5,27,9.4,24.7,
Brantley Jr., Michael,488726,2019,.473,.357,.360,88.8,10.6,36.3,5.5,6.8,37.3,61,26,46,20.9,28.1,5.1,26.4,
Gurriel, Yuli,493329,2019,.415,.321,.329,89.3,14.3,33.5,3.6,4.2,38.1,66.7,34.4,38.6,21.4,27.3,12.7,27.6,
Rojas, Miguel,500743,2019,.370,.303,.322,87.4,9.1,31.9,2.6,2.3,28.8,64.4,29.8,47.8,21.3,27.2,3.7,26.3,
Escobar, Eduardo,500871,2019,.464,.326,.310,87.8,18.4,38.6,7,7.9,31.4,71.4,37.8,32.9,33.5,27.1,6.4,27.6,
Davis, Khris,501981,2019,.437,.318,.307,90.2,13.1,31.5,9.8,8,40.4,79.8,27.3,42.4,28.5,23.7,5.3,25.6,
Pham, Tommy,502054,2019,.455,.354,.366,90.9,5.2,29.7,7.9,4.9,45,61.6,16.4,53.5,18.9,23.8,3.8,28.7,
Martinez, J.D.,502110,2019,.567,.396,.384,91.3,12.5,40.7,11.8,7.5,47.9,72.6,29.8,43,25.6,28.5,2.9,26.7,
Reddick, Josh,502210,2019,.398,.316,.324,86.1,15.8,36,3.4,4,29.4,74.2,30,40.4,23.1,27,9.4,26.7,
Goldschmidt, Paul,502671,2019,.509,.359,.345,90.1,15.4,36.4,11.3,9,42.4,66.6,28.4,38.5,29.7,24.4,7.4,26.6,
Altuve, Jose,514888,2019,.484,.344,.328,87.4,9.7,28.2,8.1,4,34.5,67.8,30.7,50.7,21.8,19.7,7.8,28.6,
Hernandez, Cesar,514917,2019,.375,.302,.320,86,9.5,32,2.7,2.7,28.3,64.5,27.7,49.8,17.6,24.4,8.1,28.8,
Segura, Jean,516416,2019,.401,.310,.314,88.2,7.2,31,3.2,5.9,32.7,60.8,35.8,52.9,16.4,23.9,6.9,27.5,
Castro, Starlin,516770,2019,.435,.314,.301,88.5,11,29.6,6.2,4.1,37.7,67.5,31.3,48.1,24.2,21.7,6,26.9,
Marte, Starling,516782,2019,.507,.362,.346,88.6,8.2,31.3,8,5.5,38.6,76.9,33.5,52.5,19.7,23.5,4.2,29.0,
Donaldson, Josh,518626,2019,.530,.385,.383,92.9,13.3,33.3,15.7,5.1,50.5,69.1,23.1,41.9,23.5,26.3,8.3,25.7,
Freeman, Freddie,518692,2019,.569,.397,.389,89.7,14.4,40,12.3,7,42.5,80.6,29.3,38.1,27.1,30.9,3.8,26.5,
Grandal, Yasmani,518735,2019,.475,.366,.379,90.7,14.2,37.5,11.3,8.7,41.8,58.7,21.6,40.9,27.2,24.8,7.1,24.2,
Heyward, Jason,518792,2019,.396,.323,.347,88.8,11.3,31.8,5.7,5.9,36.5,66.3,27.7,47.3,20.4,25.1,7.1,27.4,
LeMahieu, DJ,518934,2019,.522,.376,.364,91.9,6.5,35.2,7.5,6.8,48.5,64.4,27,49.7,17.2,29.8,3.3,26.7,
Moustakas, Mike,519058,2019,.503,.350,.334,89.5,17.4,32.3,10.3,6.1,40.8,72,31.6,37,28.3,23,11.7,25.6,
Rizzo, Anthony,519203,2019,.487,.388,.411,89,12.6,36.8,6.8,5.6,37,63.6,32.1,43.1,21.2,29.1,6.5,25.2,
