last_name, first_name,player_id,year,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Suarez, Eugenio,553993,2020,.472,.342,.325,89.1,17.9,29.5,14.4,5.3,44.7,63.4,23.9,36.4,37.1,18.9,7.6,25.9,
Gonzalez, Erik,570481,2020,.396,.293,.276,88.5,5.5,33.6,6.7,8.2,44,73.7,35.2,47.8,17.2,29.1,6,27.3,
Arenado, Nolan,571448,2020,.392,.288,.289,87.8,19.1,27.1,5.4,4.2,33.7,66.2,32.4,36.7,25.9,21.1,16.3,24.8,
Muncy, Max,571970,2020,.473,.360,.362,88.5,14.2,29,12.4,8.3,40,59.6,15.9,44.8,33.1,16.6,5.5,27.3,
Myers, Wil,571976,2020,.589,.396,.351,91,13.4,40.8,14.8,8.5,45.8,62.6,25.1,38.7,30.3,27.5,3.5,28.3,
Pollock, AJ,572041,2020,.499,.345,.312,89.6,13,37.9,10.5,7.8,43.1,65.3,29.9,39.2,28.8,26.8,5.2,28.2,
Seager, Kyle,572122,2020,.472,.365,.371,89.1,17.7,30.7,10.2,6.3,39.8,62.5,20.6,36.4,36.4,19.3,8,25.4,
Voit III, Luke,572228,2020,.586,.389,.340,88.9,15.2,37.5,13.1,6.3,40,79.2,27.5,41.3,30,21.9,6.9,24.9,
Walker, Christian,572233,2020,.454,.339,.331,90.4,11.5,34.5,6.4,10.5,48.5,74.3,29.9,42.7,22.8,28.1,6.4,26.9,
Dickerson, Corey,572816,2020,.396,.305,.303,85.7,11.1,25.8,5.7,3.1,30.8,73.7,33.2,52.2,23.3,17.6,6.9,27.0,
Yastrzemski, Mike,573262,2020,.488,.364,.360,88.2,18.4,35,10.9,9.5,42.3,58.6,19.7,38.7,29.2,21.2,10.9,27.5,
Contreras, Willson,575929,2020,.441,.353,.361,89.8,9.1,35.8,10.4,6.7,47.8,67.8,31.3,49.3,19.4,24.6,6.7,27.3,
Canha, Mark,592192,2020,.415,.359,.387,89.7,19.4,37.3,7.7,8.5,39.4,57.8,19.2,33.8,31.7,26.1,8.5,27.6,
Castellanos, Nick,592206,2020,.545,.375,.343,91,16.5,39.3,16,6.7,46.7,73.4,35.8,36,30,29.3,4.7,27.7,
Machado, Manny,592518,2020,.540,.385,.372,90.2,15.6,34.6,11,3.7,43.5,72,23.9,38.2,24.1,27.2,10.5,26.4,
Moran, Colin,592567,2020,.479,.350,.332,91.9,8.3,32.3,13.4,2.4,47.2,69.4,35.6,57.5,17.3,20.5,4.7,24.2,
Realmuto, J.T.,592663,2020,.498,.356,.331,90.2,11.6,32.8,13.6,5.6,42.4,66.9,25.2,48.8,25.6,18.4,7.2,28.2,
Rosario, Eddie,592696,2020,.437,.318,.307,87.5,18.1,30.3,6.2,8.4,35.4,70.1,39.6,36.5,33.1,19.7,10.7,26.8,
Yelich, Christian,592885,2020,.473,.378,.394,94,7.1,32.3,12.1,8.1,55.6,57.6,17.8,51.6,22.6,23.4,2.4,28.1,
Merrifield, Whit,593160,2020,.439,.336,.334,86.1,15.8,39.8,5.1,4.6,27.3,71.8,28,37.5,29.2,28.7,4.6,28.4,
Bogaerts, Xander,593428,2020,.474,.341,.327,89,8.7,31.3,8.6,5.5,36.8,64.3,23.7,45.4,27.6,22.1,4.9,27.7,
Alberto, Hanser,593643,2020,.319,.261,.272,82.3,13.2,32.6,1,3.1,20.7,75.7,52.3,47.2,19.2,23.8,9.8,26.8,
Polanco, Jorge,593871,2020,.381,.304,.308,86.6,16.1,39,2.8,5.1,33.3,64.4,23.2,37.3,27.7,27.1,7.9,27.8,
Sano, Miguel,593934,2020,.483,.326,.288,95.2,20.2,31.3,22.9,9.4,57.3,70.3,28,37.5,29.2,22.9,10.4,26.5,
Calhoun, Kole,594777,2020,.517,.379,.370,89.4,17,36.1,11.8,8.3,38.2,75.9,21.6,40.3,32.6,20.8,6.3,25.9,
Duvall, Adam,594807,2020,.516,.342,.294,88.1,22.9,30.7,13.9,5.1,40.1,66.5,32.7,29.9,39.4,18.2,12.4,28.0,
Profar, Jurickson,595777,2020,.411,.338,.350,87.2,11,35.5,3.2,3.2,27.7,66.3,28.8,43.9,18.7,27.7,9.7,27.0,
Baez, Javier,595879,2020,.385,.279,.256,89.4,10.3,24.8,8.1,7.4,40.3,73.3,38.7,50.3,22.8,18.1,8.7,27.9,
Lindor, Francisco,596019,2020,.441,.346,.356,89.9,13.5,36.5,5.6,9.1,41.1,72.3,30,39.6,24.4,31.5,4.6,27.4,
Story, Trevor,596115,2020,.457,.335,.323,89.9,20.8,40.1,8.7,7.6,41.3,66.6,28.2,29.7,30.2,29.1,11,29.0,
Kepler, Max,596146,2020,.425,.340,.349,88.5,22.2,30.9,5.1,7.4,38.2,66.6,24.2,32.4,26.5,25,16.2,28.1,
Franco, Maikel,596748,2020,.398,.307,.305,86.7,8.4,33.3,5.8,7.9,38.6,71.4,32.8,46,17.5,25.9,10.6,24.6,
Bradley Jr., Jackie,598265,2020,.368,.301,.311,88.4,4.3,28.5,7.6,4.2,36.4,67.6,23.8,54.9,20.8,21.5,2.8,27.3,
La Stella, Tommy,600303,2020,.423,.348,.366,88,17.1,32.1,4.8,3.7,28.3,54.2,21.3,40.1,28.3,22.5,9.1,25.4,
Nunez, Renato,600524,2020,.431,.315,.298,86.3,21.1,37.9,12.1,4.5,36.4,67,39.8,32.6,27.3,25.8,14.4,26.6,
Candelario, Jeimer,600869,2020,.471,.356,.351,90.2,13.3,37.5,10.3,6.6,47.1,68,26.1,40.4,24.3,30.1,5.1,26.9,
Ahmed, Nick,605113,2020,.377,.304,.310,87.7,9.4,30.1,5.2,5.2,33.3,69.2,30.3,51.6,15,26.1,7.2,28.1,
Anderson, Brian,605119,2020,.426,.324,.321,87.4,9.6,34.8,9.6,6.7,39.3,73.4,29.6,48.9,23.7,24.4,3,26.4,
Bell, Josh,605137,2020,.381,.297,.308,91.7,5.9,24.3,8.6,3.6,42.9,72.5,26.9,56.4,19.3,19.3,5,26.2,
Betts, Mookie,605141,2020,.485,.362,.359,90.7,18.5,40.1,7.7,11,43.4,58,23.2,33,31.3,29.1,6.6,28.3,
Davis, J.D.,605204,2020,.430,.359,.381,90.1,3.3,29.6,8.9,4.4,45.2,66.8,23.2,56.3,15.6,25.2,3,27.2,
Arcia, Orlando,606115,2020,.428,.338,.339,89,9.6,37.3,5.6,6.3,38.7,67.6,28.1,47.2,16.2,30.3,6.3,26.2,
Tapia, Raimel,606132,2020,.325,.285,.305,85.3,1.8,28.7,2,2.7,30,71.3,30.7,56,17.3,24,2.7,28.2,
Hernandez, Teoscar,606192,2020,.614,.401,.346,93.3,15.3,40.6,18,4.7,53.1,62.9,30.9,38.3,30.5,27.3,3.9,28.3,
Marte, Ketel,606466,2020,.381,.306,.309,89.2,10,28.8,3.7,6.1,40.5,61.8,27.9,46.6,20.2,24.5,8.6,27.7,
Nimmo, Brandon,607043,2020,.430,.364,.387,87.2,7.6,30.8,7.7,4.2,32.9,67.4,17.3,47.6,20.3,25.2,7,28.0,
Turner, Trea,607208,2020,.515,.383,.369,90.5,9.5,34.2,9.5,6,40.7,67.5,27.2,44.7,23.1,26.6,5.5,30.1,
Pillar, Kevin,607680,2020,.435,.328,.322,87.1,13.4,34.7,5.4,5.4,36.5,67.2,36.8,40.7,25.1,27.5,6.6,27.8,
Ramirez, Jose,608070,2020,.507,.373,.362,88.7,23.2,36.7,10.2,6.2,35.6,63.2,22.7,29.9,29.4,24.9,15.8,27.2,
Gallo, Joey,608336,2020,.418,.317,.310,91.2,26.8,28.9,14,4.4,43.9,67.1,19.1,31.6,33.3,17.5,17.5,27.1,
Seager, Corey,608369,2020,.656,.434,.381,93.2,11.9,38.4,15.8,13,55.9,82.2,30.3,40.1,31.1,27.1,1.7,27.0,
Mondesi, Adalberto,609275,2020,.355,.267,.255,90.6,13.7,19.9,7.3,2.6,39.1,77.4,35,51.7,23.2,11.9,13.2,29.4,
Reyes, Franmil,614177,2020,.442,.342,.328,92.4,11.2,31.3,12.9,4.8,44.9,69.3,27.5,51,23.1,19.7,6.1,26.2,
Swanson, Dansby,621020,2020,.474,.354,.341,89.1,14.7,40.7,11.4,4.8,40.7,70.9,24,38.9,29.3,27.5,4.2,28.5,
Taylor, Chris,621035,2020,.488,.371,.368,88,9.1,35.1,11.5,8.4,45,73.7,17.3,48.1,20.6,28.2,3.1,28.4,
Correa, Carlos,621043,2020,.402,.315,.319,88.8,11.3,26.1,5.9,6.5,42.1,65.7,31.8,49.7,20.9,20.3,9.2,27.2,
Olson, Matt,621566,2020,.453,.340,.336,92.3,19.6,30.1,12.8,8.3,45.9,67.6,20,35.3,29.3,22.6,12.8,25.9,
Reyes, Victor,622682,2020,.430,.329,.324,90,10.7,39.5,3.8,6.4,41.4,69.4,41.5,47.1,22.3,28.7,1.9,27.9,
Alonso, Pete,624413,2020,.466,.335,.323,90.2,15.5,30.4,12.8,4.7,41.2,65.3,30.5,39.9,29.7,19.6,10.8,26.2,
Biggio, Cavan,624415,2020,.343,.315,.345,87.4,16.7,31.4,5,8.8,30.8,59.6,13.7,39.6,31.4,23.3,5.7,27.7,
Conforto, Michael,624424,2020,.478,.374,.377,88.4,11,38.6,11,6.2,36.6,65.1,25.2,41.4,20,32.4,6.2,26.8,
Frazier, Adam,624428,2020,.378,.309,.317,85.5,12.3,34.9,4,2.9,25.1,68.9,24.7,45.1,22.3,24.6,8,27.1,
Cronenworth, Jake,630105,2020,.535,.393,.383,89.8,10.6,37.8,10.5,5.6,42.7,58.1,19,44.8,25.2,27.3,2.8,28.7,
Anderson, Tim,641313,2020,.508,.358,.330,87.2,6.7,33.3,10.1,4.4,35.8,73,39.3,56,22,20.8,1.3,28.7,
Bellinger, Cody,641355,2020,.494,.374,.373,89.3,16.6,29.2,9.4,7,41.5,68.2,27.9,39.8,29.2,22.8,8.2,28.6,
Crawford, J.P.,641487,2020,.360,.318,.343,85.8,11.5,34.1,1.8,6.6,31.1,58.3,22.9,44.3,17.4,28.7,9.6,26.6,
Dozier, Hunter,641531,2020,.385,.331,.351,86.4,17,26.4,8.2,2.7,30.9,64.1,24.4,39.1,25.5,24.5,10.9,28.0,
Lewis, Kyle,641786,2020,.433,.344,.347,88.3,11.1,37.2,11.7,7.3,35,64.1,24.6,43.1,30.7,22.6,3.6,27.9,
McMahon, Ryan,641857,2020,.389,.296,.286,90.1,9.2,27.1,11.2,4.7,43,67.7,27.2,50.5,28,16.8,4.7,25.9,
Smith, Dominic,642086,2020,.566,.392,.365,89.8,10.8,43,13.3,5.9,46.7,71.7,33.8,41.5,20.7,35.6,2.2,25.9,
Adames, Willy,642715,2020,.394,.307,.305,88.8,12.5,36.9,9.9,9,40.5,69.1,26.3,45,17.1,27,10.8,28.2,
Kiner-Falefa, Isiah,643396,2020,.340,.294,.312,87.2,0.8,22.2,2.2,2.8,31.1,65.5,27.4,61.7,16.1,18.9,3.3,28.1,
McNeil, Jeff,643446,2020,.407,.337,.355,86.6,11.5,37,2.5,6.8,26.5,83.1,32.4,44.4,23.5,27.2,4.9,27.1,
Robles, Victor,645302,2020,.280,.262,.284,82.2,19,37.3,1.7,5.1,22.9,73.2,29.2,38.1,24.6,27.1,10.2,28.0,
Devers, Rafael,646240,2020,.460,.328,.304,93,10.6,33.3,12.1,5.5,43.6,74.1,38.6,46.1,23,26.1,4.8,26.5,
Jimenez, Eloy,650391,2020,.540,.364,.317,92.4,5.7,32.9,16.5,7,55.7,75.6,37.8,52.5,20.3,24.1,3.2,27.2,
Schwarber, Kyle,656941,2020,.441,.340,.340,92.8,8.8,28.8,11.2,8.8,47.2,62.2,27.9,51.2,24.8,19.2,4.8,26.9,
Verdugo, Alex,657077,2020,.369,.299,.305,87,5.9,31.2,6.4,5.1,34.4,57.8,27.8,52.2,19.1,22.9,5.7,27.5,
White, Evan,657108,2020,.387,.292,.269,91.7,13.7,27.3,14.1,8.1,52.5,63.1,24.5,44.4,30.3,17.2,8.1,28.2,
Laureano, Ramon,657656,2020,.403,.338,.353,87.7,12.3,34.4,9.4,4.7,34.4,57.4,23.3,44.5,24.2,21.9,9.4,27.9,
Moncada, Yoan,660162,2020,.336,.290,.306,87.8,13.9,33.8,6.2,4.6,33.1,63.1,27.5,41.5,21.5,26.2,10.8,27.5,
Acuna Jr., Ronald,660670,2020,.591,.420,.409,92.4,18.6,34,16,18,57,63.9,20,36,32,24,8,29.2,
Riley, Austin,663586,2020,.474,.342,.325,91,13.6,30.7,10,5,42.9,77.9,32.3,42.1,22.9,27.1,7.9,26.9,
Tucker, Kyle,663656,2020,.449,.327,.318,91.1,14.9,34.1,9.1,6.7,44.5,77.3,26.3,39,28.7,26.2,6.1,27.6,
Grisham, Trent,663757,2020,.482,.368,.366,88.3,13.5,37.9,11.1,3.9,41.8,58,18,43.8,22.2,25.5,8.5,29.1,
Happ, Ian,664023,2020,.469,.362,.365,91.1,9,37.5,10.3,5.1,48.5,64.4,24.2,47.1,19.9,30.1,2.9,27.1,
Lowe, Brandon,664040,2020,.550,.384,.356,89.8,18.1,37.2,17.5,5.1,43.1,72.6,21.1,32.8,32.1,27,8,27.4,
Fletcher, David,664058,2020,.351,.316,.352,84.7,4.1,30.8,0.5,1.1,17.8,47.3,26,55.1,13,27,4.9,27.3,
Tatis Jr., Fernando,665487,2020,.614,.422,.386,95.9,8.7,32.3,19.5,7.9,62.2,71.8,26.1,48.2,26.2,24.4,1.2,29.4,
Guerrero Jr., Vladimir,665489,2020,.439,.333,.329,92.5,4.6,29.5,8.7,6,50.8,74,24.6,54.6,21.9,19.7,3.8,25.3,
Soto, Juan,665742,2020,.696,.475,.475,92.1,4.3,33.3,18.3,6.3,51.6,61.2,15.9,53.2,21.4,23,2.4,26.2,
Gurriel Jr., Lourdes,666971,2020,.486,.347,.325,90.8,10.5,39.5,11.7,3.1,49.4,70.7,33.9,41.4,21,32.1,5.6,26.3,
Reynolds, Bryan,668804,2020,.403,.314,.310,87.5,10.2,35.2,10.2,3.9,38.3,70,27.7,44.5,28.1,24.2,3.1,28.2,
Edman, Tommy,669242,2020,.367,.315,.334,86.5,8.2,31,3.8,4.4,33.5,61,25.6,51.3,14.6,25.9,8.2,28.9,
Solak, Nick,669256,2020,.388,.318,.326,89.9,9.4,27.5,4.7,7,40.4,64.1,24.2,48.5,26.3,21.6,3.5,28.6,
Hiura, Keston,669374,2020,.435,.318,.299,87.4,14.3,34.3,14.2,4.5,39.6,71.4,30.4,44,27.6,20.1,8.2,27.1,
Lopez, Nicky,670032,2020,.308,.287,.319,84.9,1.4,30.5,1.5,3.1,26.7,64.2,25.2,56.5,11.5,27.5,4.6,27.8,
Robert Jr., Luis,673357,2020,.462,.326,.296,87.9,16.7,36.6,13,9.2,40.5,81.1,39.6,38.2,26.7,24.4,10.7,29.1,
Cruz Jr., Nelson,443558,2022,.399,.320,.323,90.9,7.2,28,9.3,4.5,46.1,72.4,31.1,53,19.3,22.9,4.8,25.5,
Blackmon, Charlie,453568,2022,.376,.301,.308,86.2,12.4,36.7,4.4,4,30.6,70.1,32,44.4,23.8,25.7,6.1,27.9,
McCutchen, Andrew,457705,2022,.406,.325,.329,89.1,13.2,36.2,8.6,5.8,40,68.5,20.8,41.8,28.1,24.1,6.1,28.9,
Turner, Justin,457759,2022,.427,.339,.343,89.5,18.4,40.6,8,6.2,40.6,70.4,26.7,32.8,33.3,27.9,5.9,25.0,
Andrus, Elvis,462101,2022,.360,.293,.300,87.9,11.9,29.1,4.5,3.6,34.8,62.3,29.4,46.5,22.1,22.8,8.6,26.0,
Santana, Carlos,467793,2022,.438,.352,.361,90.7,15.4,31.6,9.3,7.2,44.9,63.9,21.7,39.1,28.4,22.6,9.9,25.7,
Gurriel, Yuli,493329,2022,.319,.271,.286,88.2,14.6,30.3,1.9,4.4,35.6,63.1,34.9,41.7,24.6,23.8,9.9,26.9,
Rojas, Miguel,500743,2022,.347,.293,.310,86.1,10.1,33.1,1.9,5.6,27.1,66.2,30.4,47.1,19.6,26.8,6.5,26.4,
Escobar, Eduardo,500871,2022,.427,.314,.300,88.3,20.6,38.7,9.4,8.9,37.6,73.5,34,30.9,32.8,26.9,9.4,27.9,
Pham, Tommy,502054,2022,.383,.311,.315,92.2,7.7,33.2,7.9,8.2,48.5,60.8,21.6,48.2,22.4,24.7,4.6,27.9,
Martinez, J.D.,502110,2022,.471,.349,.330,89.1,14.1,42,12.5,8.9,41.7,74.9,31.9,38.2,30.8,26.7,4.3,26.1,
Goldschmidt, Paul,502671,2022,.482,.367,.357,90.8,15.7,31.8,11.6,9.9,47.4,59.8,25.1,40.8,28.8,22.9,7.5,26.2,
Altuve, Jose,514888,2022,.440,.354,.362,85.9,16.1,35.4,7.7,6.6,29.7,64,28.6,41,25.6,23.6,9.8,28.1,
Hernandez, Cesar,514917,2022,.329,.290,.312,84.8,9.3,33.3,2.4,4.9,29.7,68.7,25.9,48.6,19.3,26.4,5.8,28.3,
Marte, Starling,516782,2022,.428,.336,.332,86.8,7.5,38.5,6.8,7,33.9,67.5,32.8,50.1,20.1,26,3.8,28.0,
Donaldson, Josh,518626,2022,.370,.299,.303,90.7,12,34.8,9.8,6.3,43.3,66.6,29.3,43.5,25.9,24.1,6.5,25.7,
Freeman, Freddie,518692,2022,.538,.403,.400,91.3,13.6,42.9,9.9,8.5,47.8,73.9,27.3,38.9,28.4,29.8,2.9,26.9,
LeMahieu, DJ,518934,2022,.403,.344,.369,89.2,3,32.8,5.3,6.8,41.1,53.9,24.5,54.6,17,25.6,2.8,26.4,
Rizzo, Anthony,519203,2022,.454,.349,.350,89.4,19.3,34.2,10.9,7.7,41,64.1,29.7,33.3,35,21.6,10.1,25.5,
Flores, Wilmer,527038,2022,.370,.310,.322,87.8,20.7,35.7,6.3,5.4,35.4,66.5,26.6,34.7,31.5,24.2,9.6,25.2,
Ozuna, Marcell,542303,2022,.478,.337,.303,89.4,16.5,31.8,13.1,4,43.8,68.2,33.4,38.4,30.7,20.7,10.2,26.6,
Aguilar, Jesus,542583,2022,.393,.298,.288,87.7,19.1,39.7,6.9,7.7,36,64.7,36.3,32.9,30.9,26.9,9.7,23.9,
Cron, C.J.,543068,2022,.438,.321,.306,88.7,14.2,36.8,10.8,5.5,42.3,62.9,33.2,39.2,27.9,26,7,25.2,
Semien, Marcus,543760,2022,.394,.306,.301,87.3,19.9,32.4,6.8,6.2,34.9,71.1,24.8,33.6,34,21.8,10.6,28.9,
Springer III, George,543807,2022,.438,.342,.342,88.7,13.9,31.8,8.4,7.2,42.3,77.4,25.6,44.3,24.4,21.8,9.6,28.3,
Grichuk, Randal,545341,2022,.370,.281,.271,90,8.7,27.3,6.8,6.6,43.6,69.4,32.7,50.4,26,18.1,5.5,28.0,
Abreu, Jose,547989,2022,.486,.373,.372,92.2,8,34.5,9.5,7.7,51.8,66.1,29.8,47.7,24,25.1,3.2,26.0,
Suarez, Eugenio,553993,2022,.454,.339,.321,89.8,19.9,36.4,14.8,7.4,43.5,63.6,21.5,34.1,39.2,20.7,6,25.7,
Urshela, Gio,570482,2022,.416,.323,.324,88.9,11.8,38.6,7,6.6,37.6,71.2,36.1,41.7,23.8,30.1,4.4,25.8,
Schoop, Jonathan,570731,2022,.338,.268,.267,87,9.7,29.1,4.8,6.6,38.6,75.2,36.8,45.2,20.6,24.3,9.8,27.0,
Arenado, Nolan,571448,2022,.445,.339,.335,88.7,21.7,35.4,8.2,7.8,38.9,66.9,32.6,30.5,29,26.2,14.3,25.5,
Farmer, Kyle,571657,2022,.380,.311,.320,85.5,12.7,37.7,4.4,6.9,33.8,64.7,36.3,45.3,23.4,25.5,5.7,26.8,
Muncy, Max,571970,2022,.417,.339,.342,90.3,20.9,34.3,13.4,10.3,45.6,60.4,16.5,32.5,39.5,20.1,7.9,27.2,
Pollock, AJ,572041,2022,.419,.317,.305,88.8,11.6,32.9,9.4,5.8,42,74.1,34,45.3,22,23,9.6,27.8,
Voit III, Luke,572228,2022,.434,.322,.306,89.8,18.4,34.6,14.7,8.3,44.3,78.1,30.6,34.9,34.9,24.8,5.5,24.7,
Walker, Christian,572233,2022,.484,.359,.343,90,17,33.3,11.5,6.5,44,67.9,23.1,39.2,30.9,21.4,8.5,26.6,
Yastrzemski, Mike,573262,2022,.392,.314,.313,89.9,19.9,36.2,11.1,5.1,42.5,63.4,22.2,34.8,31.9,23.6,9.7,27.0,
Canha, Mark,592192,2022,.362,.323,.351,87.7,10.9,32.2,4.9,6.8,36.6,61,24.3,46.1,24.7,23.3,6,27.5,
Castellanos, Nick,592206,2022,.395,.302,.293,87.5,14.6,36.9,6.6,6.1,35.1,76.8,39.6,42.9,28.5,22,6.6,27.7,
Drury, Brandon,592273,2022,.420,.316,.303,89.1,13.8,34.8,10.4,7.3,42.2,62.5,30.1,40.9,28.3,24,6.8,27.0,
Judge, Aaron,592450,2022,.706,.463,.422,95.9,15,39,26.5,7.2,61.8,66.1,22.9,37,38.3,22.3,2.5,27.3,
Machado, Manny,592518,2022,.447,.338,.338,91.5,16,36.7,9.8,9.8,49,74.4,30.7,37.6,23.7,29.1,9.6,26.3,
Realmuto, J.T.,592663,2022,.463,.351,.342,90.3,13.1,35.6,11.3,6.7,47.2,67.7,31,44.6,25.6,24.1,5.6,28.8,
Renfroe, Hunter,592669,2022,.438,.323,.303,90.5,17.7,32.7,10.9,6.4,43.6,66.2,31.8,37.4,30.2,21.5,10.9,27.1,
Yelich, Christian,592885,2022,.404,.339,.360,91.5,3.6,30.3,8.2,6.7,48.6,65.4,23.2,59.1,18,19.7,3.1,28.1,
Merrifield, Whit,593160,2022,.356,.288,.292,87.1,15.1,37.9,4.2,7.3,31.1,71.4,29.8,41.2,28.8,22.2,7.7,28.7,
Bogaerts, Xander,593428,2022,.383,.323,.338,88.1,10.2,30.3,6.5,4.9,39.5,63.5,29.2,46.6,21.1,25.8,6.5,27.9,
Profar, Jurickson,595777,2022,.359,.315,.340,87.5,12.9,34.7,4,4.6,34.3,64.2,23.7,44.8,22.8,25.7,6.7,26.6,
Baez, Javier,595879,2022,.378,.285,.272,87.9,9.6,29.7,8,4.9,38,67.9,47.5,50.6,22.9,20.4,6.1,27.9,
Lindor, Francisco,596019,2022,.427,.331,.326,89.3,13.8,29.2,8.3,6.2,41.3,68.1,29.9,43.5,27.6,20.4,8.5,27.5,
Bell, Josh,605137,2022,.424,.349,.369,88.9,8.4,30.7,7.2,3.7,40.8,68.8,24.9,50.7,19.7,24.1,5.7,26.2,
Betts, Mookie,605141,2022,.465,.344,.327,90.5,18.6,36.2,9.7,8.7,44.9,66.9,22.2,33.7,35.6,23.1,7.6,27.3,
Hernandez, Teoscar,606192,2022,.501,.351,.314,92.6,11.6,36.3,15,7.5,53.3,69,30.3,44.4,25.6,24.8,5.2,28.6,
Marte, Ketel,606466,2022,.377,.315,.333,90.1,13.5,31.6,6.1,5.8,41.9,65.7,28.1,43.2,25.3,24.5,7.1,27.0,
Nimmo, Brandon,607043,2022,.409,.342,.357,89.4,6.1,28.1,7,3.6,39.8,64.8,21.2,51.7,20.6,21.7,6,28.7,
Turner, Trea,607208,2022,.432,.335,.327,88.9,10.2,35.3,7.6,6.5,41.6,72.4,33.1,43.5,26.2,24.7,5.7,30.3,
Ramirez, Jose,608070,2022,.408,.320,.337,87.7,20.7,33.7,6.6,6.4,36.9,66.4,28.7,32.6,28.6,24.6,14.2,28.5,
Bregman, Alex,608324,2022,.416,.350,.369,88.9,19.5,36.2,7.3,9.4,37.8,65.8,17.8,33.5,32.6,24.5,9.4,26.6,
Seager, Corey,608369,2022,.510,.372,.354,91.1,13.6,38.4,10.5,9.9,45.5,80.7,30.5,40.2,30.3,25.9,3.6,26.1,
Winker, Jesse,608385,2022,.403,.345,.369,87.7,16.8,32,7.6,3.1,34.3,68.1,18.8,38.8,28.9,22.5,9.8,25.4,
Swanson, Dansby,621020,2022,.461,.337,.314,90.2,15.7,37,10.8,8,46.3,72.4,26.4,38.3,29.4,26.8,5.4,28.4,
Correa, Carlos,621043,2022,.484,.363,.353,89.9,11.6,35.3,11.4,5.7,44.7,63.3,26.9,42,25.9,25.7,6.4,27.1,
Ward, Taylor,621493,2022,.474,.361,.352,90,15.8,41.8,12.4,7.4,42.9,62.3,20.6,35.5,31.3,27.1,6.1,28.4,
Wisdom, Patrick,621550,2022,.380,.295,.284,90.7,21,29.8,14.2,6.2,46.3,70.5,26.4,34.9,31.8,20.4,12.8,27.8,
Olson, Matt,621566,2022,.467,.347,.334,92.9,16.1,33.8,13.6,7.6,50.9,73.9,28.5,39.6,28.4,22,10,26.3,
Mateo, Jorge,622761,2022,.344,.272,.269,86.8,14.8,35.5,6,5.7,32.7,72.6,36.6,38.6,25.9,26.7,8.8,30.1,
Santander, Anthony,623993,2022,.471,.352,.335,90.1,21.4,33.5,11.6,8.1,43.3,65.5,32.5,32.2,28.7,23.4,15.8,26.4,
Alonso, Pete,624413,2022,.489,.354,.346,89.8,18.2,34.5,12.3,4.8,44.8,70.9,33.5,36.4,30.5,23,10,25.6,
Frazier, Adam,624428,2022,.339,.297,.324,85.1,13.6,37.7,1.5,4,24.5,68.4,28.8,41.8,23.8,27.8,6.5,26.8,
Cronenworth, Jake,630105,2022,.356,.303,.319,87.6,18.2,32.3,5.6,6.9,34.1,60,21.6,36.2,34.1,21.1,8.6,28.2,
Bellinger, Cody,641355,2022,.354,.278,.271,89.4,20.3,34.4,8.3,5.8,38.1,68.2,31.7,35.6,32.8,22.2,9.4,28.1,
Crawford, J.P.,641487,2022,.337,.315,.353,85.1,8.9,32.4,2,4.7,29.7,61.9,20.5,46.5,18.2,27.2,8.1,26.8,
Mancini III, Trey,641820,2022,.410,.327,.328,89.5,12.7,39.6,9.8,10.3,40.4,67.3,30.1,40.6,27.8,25.4,6.2,25.6,
McMahon, Ryan,641857,2022,.423,.330,.329,91.7,10.8,36.4,10.4,6.7,46.5,63.4,25.4,44.7,27.5,26.2,1.6,25.8,
Tellez, Rowdy,642133,2022,.479,.349,.337,91.1,15.3,31.4,12.9,7.3,46,61.2,27,39.7,29.9,20.4,10,23.8,
Rosario, Amed,642708,2022,.396,.310,.308,88.4,5,31.1,4.5,5.5,38.3,66.9,40,52.5,16.8,25.7,5.1,29.5,
Adames, Willy,642715,2022,.451,.323,.299,88.9,18.9,36.4,13,6.5,43.6,71.2,29.8,34.2,33.4,22.7,9.7,27.8,
Estrada, Thairo,642731,2022,.352,.299,.312,86.2,8.1,31.6,4.4,4.7,31.1,67.2,32.3,51.4,20.5,21,7.2,28.3,
Benintendi, Andrew,643217,2022,.407,.334,.347,89.2,12.6,39.2,5.1,6.2,38.7,73.2,22.7,43.8,26.7,25.9,3.6,27.5,
Kemp, Tony,643393,2022,.291,.267,.294,84.4,15,33.9,1.6,4.1,14.9,68.4,29.4,43.3,24.3,22.9,9.4,26.2,
Kiner-Falefa, Isiah,643396,2022,.333,.290,.317,86.2,4.3,29.6,1.2,4.3,30.1,58,30.8,55.8,14.8,23.6,5.7,28.4,
McNeil, Jeff,643446,2022,.389,.323,.341,86.9,12.8,39,2.7,5.2,30.2,77.6,29.2,41.3,22.9,30,5.9,27.4,
Devers, Rafael,646240,2022,.497,.361,.348,93.1,11.3,33.1,11.5,7.7,50.9,76.3,36.2,42.3,23.9,26.4,7.4,25.5,
Arraez, Luis,650333,2022,.408,.333,.350,88.9,12.9,38.7,3.6,5.7,30.2,63.2,24.1,41.2,25.4,29.8,3.6,26.8,
Torres, Gleyber,650402,2022,.441,.319,.298,90.4,17.5,36.2,10.7,8.5,45.3,71.9,27.7,35.9,32.7,24.2,7.2,26.9,
