player,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed
"Urias, Luis",2022,25,0.398,0.326,0.335,87.3,18,34.3,8.3,5.4,35.3,63.2,23.3,36.5,34,21.8,7.7,26.4
"Diaz, Lewin",2022,25,0.262,0.219,0.223,88.3,15.6,29.6,5.6,4.6,28.7,60,33.5,37,35.2,21.3,6.5,24.6
"Arraez, Luis",2022,25,0.408,0.333,0.35,88.9,12.9,38.7,3.6,5.7,30.2,63.2,24.1,41.2,25.4,29.8,3.6,26.8
"Jimenez, Eloy",2022,25,0.512,0.365,0.335,92.8,7.4,31.7,14.7,8.5,54.9,71.7,32.2,50,25.4,21.9,2.7,25.7
"Torres, Gleyber",2022,25,0.441,0.319,0.298,90.4,17.5,36.2,10.7,8.5,45.3,71.9,27.7,35.9,32.7,24.2,7.2,26.9
"Castro, Willi",2022,25,0.339,0.29,0.304,84.8,13.9,35.5,3.5,4.2,31.4,77.2,39.8,42.9,24.4,23.7,9.1,28.4
"Diaz, Yandy",2022,30,0.424,0.365,0.395,92.2,7.7,30.7,4.8,8.9,49,63.6,19.6,50,19.6,24.4,6,27.1
"De La Cruz, Bryan",2022,25,0.498,0.355,0.327,90.8,9.8,43.6,11.9,6.2,47.3,70.7,31.1,42.4,24.7,30.5,2.5,27.8
"Rengifo, Luis",2022,25,0.392,0.296,0.285,86.9,9.9,31.1,5.4,4.9,33.6,77.3,34.9,48.2,23.6,21.2,7.1,27.9
"Adams, Riley",2022,26,0.354,0.276,0.267,90.2,13.5,25,9.4,9.4,45.8,58.7,34,44.8,28.1,18.8,8.3,26.7
"Allen, Greg",2022,29,0.246,0.229,0.251,87.6,8.5,25,2.5,5,32.5,69.3,23.7,55,22.5,17.5,5,28.1
"Chapman, Matt",2022,29,0.44,0.341,0.331,92.2,19,34,12.9,8.8,51.2,64.2,19.2,34.6,30,22.3,13.1,28.4
"Chavis, Michael",2022,26,0.336,0.261,0.256,85.4,11.1,33,7.5,6.1,38.7,76.7,39.1,44.8,21.9,24.4,9,28.9
"Fairchild, Stuart",2022,26,0.396,0.317,0.313,88.9,13.3,31.7,9.5,7.9,41.3,75.3,18,44.4,33.3,15.9,6.3,29
"Hilliard, Sam",2022,28,0.361,0.303,0.312,92,13.4,27.7,9.2,9.2,48.7,67.5,20.1,44.5,26.1,21,8.4,28.7
"Hoskins, Rhys",2022,29,0.445,0.338,0.327,90.1,18.1,37.3,11.1,5.9,44.3,60.7,23.2,36.3,33,22.9,7.8,25.9
"Joe, Connor",2022,29,0.34,0.311,0.342,85.3,10.6,35.1,4.5,3.9,33.8,58.5,21.7,47.1,19.5,26.3,7.1,26.8
"Luplow, Jordan",2022,28,0.351,0.288,0.293,87.2,17.7,24,7.5,4.8,32.9,72.2,24.3,41.1,32.9,14.4,11.6,27.8
"McKinstry, Zach",2022,27,0.342,0.288,0.3,86.4,12.9,41.4,4.3,6,30.2,66.2,28.4,39.7,25,31,4.3,28.3
"Mullins II, Cedric",2022,27,0.349,0.288,0.297,88.8,17.4,29.3,4.9,5.9,37.3,71.2,29.9,41,26.4,21.1,11.5,28.4
"O'Hearn, Ryan",2022,28,0.425,0.327,0.321,92.1,13.4,38,7,11,48,67.9,30.4,46,21,28,5,27.3
"Rivera, Emmanuel",2022,26,0.41,0.31,0.296,90.4,9.8,32.3,9.3,6,38.3,72.6,28.1,49.2,26.2,20.6,4,26.9
"Schwarber, Kyle",2022,29,0.535,0.375,0.341,93.3,19.2,35.4,20.1,8.7,54.4,60.6,21.7,34.3,33.8,20.6,11.3,26.4
"Smith, Pavin",2022,26,0.379,0.304,0.3,87.9,15.2,28.7,9.9,3.3,35.9,55.9,24.1,43.6,29.8,17.7,8.8,26.5
"Thomas, Lane",2022,26,0.357,0.286,0.286,86.4,12.5,32.6,6.5,5.7,34.5,61.4,26.1,45.3,21.3,21,12.4,29.4
"Verdugo, Alex",2022,26,0.428,0.329,0.327,89.1,8.4,37.8,6,7.6,38.2,64,24.9,46.2,23,26.5,4.3,26.8
"DeJong, Paul",2022,28,0.327,0.267,0.267,87.6,21.7,25.6,9.8,5.3,37.6,70.7,27.9,32.3,34.6,21.8,11.3,27.8
"Laureano, Ramon",2022,27,0.402,0.307,0.294,88.7,14.9,28.9,11.6,4.1,38.4,64.2,28.8,43.4,30.2,18.6,7.9,27.6
"Papierski, Michael",2022,26,0.204,0.217,0.253,77.4,12.2,28.4,0,3,9,56.1,29.7,47.8,19.4,19.4,13.4,24.8
"Sheets, Gavin",2022,26,0.359,0.283,0.281,88.6,14.8,32.3,6.5,6.1,36.1,63.7,33.2,41.2,24.8,23.5,10.5,26.6
