#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
558,Mark Leiter Jr.,CHC,RP,R,32.4,0.0,0.0,147.7,35.6,1.8,1.7,0,7,3.61,3.58,1.20,37.1,10.8,32.0,1.9,14.4,15.6,4,43.4,36.4,20.2,0.292
559,Luis Ortiz,PHI,RP,R,32.4,0.0,0.0,152.1,35.6,1.7,1.8,0,3,4.20,4.17,1.30,31.0,11.5,34.8,1.4,17.0,18.2,5,40.8,39.3,19.9,0.286
560,Sergio Romo,FA,RP,R,43.7,0.0,0.0,154.0,35.0,1.6,1.9,0,12,4.90,4.82,1.39,28.3,12.3,36.5,1.5,19.2,20.3,6,35.6,43.3,21.2,0.288
561,Ricky Karcher,CIN,RP,R,34.0,0.0,0.0,151.5,34.0,1.5,1.8,0,3,5.13,5.23,1.61,36.5,21.8,33.1,1.6,18.8,20.2,5,40.3,38.2,21.5,0.309
562,Josh Simpson,MIA,RP,L,34.0,0.0,0.0,146.7,34.0,1.7,1.7,0,3,3.89,4.04,1.39,34.8,15.8,31.6,1.8,14.1,15.4,3,46.9,31.9,21.3,0.311
563,Chasen Shreve,DET,RP,L,30.8,0.0,0.0,148.3,33.9,1.5,1.8,0,8,4.48,4.56,1.40,29.0,14.1,33.4,1.2,16.9,18.1,5,38.8,40.6,20.6,0.293
564,Kolby Allard,ATL,RP,L,22.7,1.6,0.7,140.6,33.3,1.8,1.6,0,2,4.03,4.02,1.25,32.3,10.5,31.3,1.2,15.4,16.5,5,37.9,42.0,20.1,0.286
565,Trent Thornton,TOR,RP,R,27.5,0.0,0.0,140.9,33.0,1.7,1.6,0,3,4.25,4.28,1.31,30.0,11.3,32.0,1.3,15.6,16.8,5,38.1,41.9,20.0,0.286
566,Griffin Canning,LAA,SP,R,13.0,4.9,2.1,139.1,32.6,1.9,1.7,0,1,4.22,4.13,1.29,31.7,11.3,30.6,1.4,15.9,17.0,5,36.9,43.1,20.0,0.280
567,Shawn Dubin,HOU,SP,R,18.2,3.6,1.6,138.3,32.6,2.0,1.5,0,1,3.97,3.96,1.33,34.6,13.1,30.2,1.2,14.0,15.2,4,44.7,34.1,21.2,0.300
568,Yosver Zulueta,TOR,SP,R,18.2,3.6,1.5,136.4,32.6,4.0,4.1,0,0,4.75,4.75,1.47,29.1,13.4,34.5,1.7,15.9,17.1,4,43.8,34.9,21.3,0.300
569,Jimmy Nelson,LAD,RP,R,32.4,0.0,0.0,139.7,32.4,1.6,1.6,0,10,4.07,3.97,1.33,35.1,13.8,29.2,1.6,14.9,16.0,4,38.2,41.6,20.2,0.288
570,Heath Hembree,TB,RP,R,40.5,0.0,0.0,141.2,32.4,1.5,1.7,0,4,4.45,4.43,1.36,33.4,14.5,29.4,1.3,16.3,17.3,5,31.6,48.5,20.0,0.276
571,Tyler Duffey,CHC,RP,R,32.4,0.0,0.0,139.7,32.4,1.5,1.7,0,10,4.32,4.32,1.39,29.3,12.1,32.8,1.4,15.2,16.4,4,43.7,36.0,20.3,0.308
572,Nick Wittgren,KC,RP,R,32.4,0.0,0.0,139.9,32.4,1.5,1.7,0,7,4.68,4.68,1.41,24.2,11.0,34.6,1.6,16.5,17.7,4,41.9,37.8,20.4,0.311
573,Sam Coonrod,NYM,RP,R,32.4,0.0,0.0,139.1,32.4,1.6,1.6,0,6,3.90,3.89,1.33,31.4,12.7,30.5,1.8,14.2,15.4,4,43.7,36.7,19.5,0.294
574,Joe Smith,FA,RP,R,40.5,0.0,0.0,141.2,32.4,1.5,1.7,0,12,4.73,4.73,1.44,22.2,10.0,36.7,1.3,16.5,17.8,5,45.9,32.9,21.2,0.312
575,Reyes Moronta,TEX,RP,R,32.4,0.0,0.0,141.8,32.4,1.5,1.7,0,6,4.48,4.54,1.43,31.9,17.1,29.4,1.3,16.5,17.7,5,35.1,44.9,20.0,0.281
576,Alex Faedo,DET,RP,R,32.4,0.0,0.0,138.6,32.4,1.5,1.7,0,3,4.32,4.24,1.31,29.9,11.7,30.9,1.2,15.5,16.6,4,36.4,43.6,20.0,0.291
577,Michel Baez,SD,RP,R,32.4,0.0,0.0,141.4,32.4,1.6,1.6,0,3,4.22,4.27,1.40,29.7,14.4,31.0,1.8,15.2,16.4,4,41.3,38.7,20.0,0.290
578,Seth Elledge,ATL,RP,R,32.4,0.0,0.0,140.4,32.4,1.6,1.5,0,3,4.30,4.30,1.36,32.1,13.7,30.5,1.4,15.6,16.7,4,38.3,41.7,20.0,0.296
