player,IP,W,L,SV,HLD
"Cessa, Luis",81.9,3.3,5.7,0,4
"Pepiot, Ryan",81.2,4.6,4.4,0,2
"Sanchez, Anibal",81,4.2,5.4,0,0
"Morris, Cody",80.8,4.6,4,0,4
"Dunn, Justin",80.1,2.7,6.8,0,0
"Seabold, Connor",78.6,3.4,5.3,0,2
"Martinez, Adrian",78.6,3.4,5.3,0,2
"Hall, DL",78.6,4.3,4,0,2
"Curry, Xzavion",78.2,3.9,4.5,0,4
"Flexen, Chris",77.9,4.4,4.2,0,2
"Wentz, Joey",77.3,3.3,5.2,0,2
"Chirinos, Yonny",75.6,3.6,4.2,0,3
"Martin, Davis",75.3,4.1,4.1,0,2
"Patino, Luis",75.2,3.2,4.4,0,5
"White, Mitch",74.5,4,3.8,0,3
"Espino, Paolo",73.6,3.3,4.2,0,5
"Pineda, Michael",72.9,3.4,4.9,0,0
"Archer, Chris",72.9,3.5,4.8,0,0
"Houser, Adrian",72.1,3.5,3.9,0,4
"Pearson, Nate",71.6,4,3.4,0,10
"Ortiz, Luis",71.6,3.4,4.4,0,0
"Keuchel, Dallas",71.6,3.4,4.8,0,0
"Ramirez, Erasmo",71.3,3.3,3.7,0,6
"Suter, Brent",71.3,3.4,3.6,0,6
"De Jong, Chase",71.3,3.3,3.7,0,6
"Moore, Matt",71.3,3.6,3.4,0,19
"Crowe, Wil",71.3,3.4,3.6,1,19
"Alexander, Tyler",71.3,3.2,3.8,0,10
"Pagan, Emilio",71.3,3.5,3.4,2,16
"Jax, Griffin",71.3,3.5,3.5,0,19
"Rogers, Tyler",71.3,3.3,3.7,0,19
"Abreu, Bryan",71.3,3.9,3.1,1,14
"Beeks, Jalen",71.3,3.8,3.2,0,12
"Burke, Brock",71.3,3.6,3.3,0,19
"Hentges, Sam",71.3,3.9,3.1,0,14
"Strzelecki, Peter",71.3,3.5,3.5,0,14
"Graterol, Brusdar",71.3,3.9,3.1,5,19
"Suarez, Robert",71.3,3.9,3.1,0,19
"Hicks, Jordan",71.3,3.9,3.1,0,19
"Clarke, Taylor",71.3,3.4,3.6,0,19
"Sanmartin, Reiver",71.3,3.5,3.5,0,18
