last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Chang, Yu,644374,2022,59,16,15,53,0,69,19,
Albies, Ozzie,645277,2022,47,16,35,101,3,64,36,
Robles, Victor,645302,2022,104,17,33,114,15,132,42,
Herrera, Jose,645444,2022,34,9,5,23,0,47,9,
Ford, Mike,645801,2022,40,17,10,41,0,50,9,
Devers, Rafael,646240,2022,114,50,88,289,3,141,84,
Naylor, Josh,647304,2022,80,38,79,203,6,122,47,
Toro, Abraham,647351,2022,65,22,35,105,2,109,36,
Diaz, Aledmys,649557,2022,53,18,38,123,1,92,35,
Urias, Luis,649966,2022,99,50,47,164,1,119,54,
Diaz, Lewin,650331,2022,54,11,11,46,1,58,12,
Arraez, Luis,650333,2022,43,50,49,230,4,144,88,
Jimenez, Eloy,650391,2022,72,28,54,146,0,84,40,
Torres, Gleyber,650402,2022,129,39,76,237,10,140,73,
Castro, Willi,650489,2022,82,15,31,134,9,112,47,
Diaz, Yandy,650490,2022,60,78,57,200,3,137,71,
De La Cruz, Bryan,650559,2022,90,19,43,142,4,115,38,
Rengifo, Luis,650859,2022,79,17,52,210,6,127,45,
Adams, Riley,656180,2022,46,12,10,44,0,48,14,
Allen, Greg,656185,2022,42,10,8,32,8,46,17,
Chapman, Matt,656305,2022,170,68,76,233,2,155,83,
Chavis, Michael,656308,2022,126,19,49,156,1,129,39,
Fairchild, Stuart,656413,2022,34,8,6,45,0,46,14,
Hilliard, Sam,656541,2022,57,23,14,46,5,70,26,
Hoskins, Rhys,656555,2022,169,72,79,272,2,156,81,
Joe, Connor,656582,2022,97,55,28,145,6,111,56,
Luplow, Jordan,656669,2022,60,25,28,74,5,83,26,
McKinstry, Zach,656716,2022,52,16,14,60,7,57,21,
Mullins II, Cedric,656775,2022,126,47,64,245,34,156,89,
O'Hearn, Ryan,656811,2022,35,8,16,43,0,67,14,
Rivera, Emmanuel,656896,2022,83,23,40,135,1,102,46,
Schwarber, Kyle,656941,2022,200,86,94,291,10,155,100,
