last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Cruz Jr., Nelson,443558,2018,37,.566,.396,.365,93.9,12.8,31.3,13.8,7,51.7,68.7,28.4,44.8,27,20.3,8,24.9,
Peralta, David,444482,2018,30,.472,.350,.340,91.5,6.7,32.9,7.8,8.4,46.3,67.1,28.5,51.1,18.5,25.3,5,27.3,
Escobar, Alcides,444876,2018,31,.327,.274,.288,84.6,10.6,30.3,2.1,3.5,21.5,72.2,32.5,48.5,21.7,24.1,5.7,27.6,
Jay, Jon,445055,2018,33,.333,.293,.316,85.1,4.2,31.8,1.8,3,21.4,65.5,32.9,60.7,13,25.7,0.7,26.0,
Longoria, Evan,446334,2018,32,.426,.309,.289,88.5,13.6,32.6,7.6,6,37.2,67,29.1,42.7,25.5,23.7,8.1,26.9,
Davis, Chris,448801,2018,32,.354,.272,.263,89.3,15.1,35.5,10.3,7.8,40.1,62.9,28.1,40.8,28.7,25.2,5.3,25.5,
Zobrist, Ben,450314,2018,37,.390,.333,.354,89.9,9,35,3,5.7,38.7,60.4,21.9,49.6,21.1,25.8,3.5,26.7,
Cabrera, Asdrubal,452678,2018,32,.432,.320,.306,90,14.6,33.1,7.2,8.4,39.3,70.9,29.2,43.4,27.5,22.1,7,25.4,
Blackmon, Charlie,453568,2018,31,.445,.346,.346,87.5,12,34.9,6.5,4.8,35.2,66,29.2,44.2,24.2,27.1,4.4,27.6,
Markakis, Nick,455976,2018,34,.425,.345,.366,90.6,10.1,38.4,3.1,6,41.6,60.6,20,44,19.7,31.2,5.1,26.4,
Nunez, Eduardo,456488,2018,31,.349,.280,.286,88.3,9.4,27.2,3.4,2.4,35.7,72.9,36.3,49.4,14,24.8,11.8,27.5,
Cain, Lorenzo,456715,2018,32,.389,.342,.373,89.1,4.9,30.9,3.4,4,40.5,63.9,21,54.6,16.1,25.3,4,28.6,
McCutchen, Andrew,457705,2018,31,.444,.360,.373,90,13.4,36.2,8.4,7.7,41.9,62.1,15.9,42.2,23.9,28.5,5.3,28.7,
Upton, Justin,457708,2018,30,.466,.354,.342,90.7,11.9,34.7,14,6.6,47.4,64.9,20.9,42.4,25.1,25.9,6.6,27.9,
Votto, Joey,458015,2018,34,.472,.391,.420,88.1,13.4,45.9,6.7,10.6,35.1,66.9,13.1,38,26.7,34.3,1,25.3,
Gardner, Brett,458731,2018,34,.334,.293,.315,88,9.4,30.6,2.8,5.1,32.9,52.8,21,49.8,21.3,22.9,6,29.2,
Gordon, Alex,460086,2018,34,.423,.329,.331,88.5,10.9,36.5,6.8,6.5,39.7,65.5,28.5,44.3,21.4,28.6,5.5,25.5,
Kemp, Matt,461314,2018,33,.522,.359,.326,89.6,15.8,42.1,11,5.9,39.1,72.9,31.4,36.4,26.6,31.6,5.4,26.3,
Santana, Carlos,467793,2018,32,.418,.347,.368,88.9,15.4,30.1,6.9,6.7,39.1,64,21,41.5,24.8,21.1,12.6,26.0,
Gonzalez, Carlos,471865,2018,32,.389,.301,.301,89.7,9,30,6.2,6.5,39.1,72.8,32.2,49.3,21.8,21.5,7.4,27.5,
Alonso, Yonder,475174,2018,31,.441,.331,.322,87.8,15.7,36.9,9.8,5,37.5,73.1,30.4,39.9,24.4,24.9,10.8,23.3,
Smoak, Justin,475253,2018,31,.434,.337,.336,89.5,15,36.9,10.8,7.7,42.5,61.5,22.6,40.6,30.4,22.2,6.8,23.8,
Lowrie, Jed,476704,2018,34,.408,.327,.335,89.2,17.4,38,5.3,9.6,37.9,70.5,21.4,35,30.4,27.6,7,26.6,
Brantley Jr., Michael,488726,2018,31,.452,.357,.365,90.2,9.5,38.3,3.5,6,38.4,65.2,23.7,46.2,18,31.1,4.6,26.0,
Gurriel, Yuli,493329,2018,34,.360,.290,.296,89.3,11.5,32.6,1.9,5.2,36.6,68.7,34.5,44.9,20.2,25.8,9.1,27.6,
Solarte, Yangervis,500208,2018,30,.387,.301,.300,87.1,14.1,30,4.5,4.8,32,76.3,37.6,43.8,21.5,23.5,11.3,24.7,
Rojas, Miguel,500743,2018,29,.351,.293,.309,84.7,9.3,35.2,0.9,3.1,23.8,65.5,32.2,47.7,16.4,27.9,8,26.5,
Escobar, Eduardo,500871,2018,29,.430,.323,.316,86.5,18.9,38.6,8.3,6.7,27.6,72.4,35.3,33.3,29.7,27.9,9.2,27.9,
Martinez, Jose,500874,2018,29,.512,.378,.362,91,8.1,37.5,9.4,7.6,44.6,63.6,26.1,46.9,19.3,30.8,3,26.5,
Davis, Khris,501981,2018,30,.566,.376,.329,92.5,18.1,37.7,17.2,7.6,48.1,76,23.2,35.5,32.8,23.3,8.3,26.1,
Pham, Tommy,502054,2018,30,.498,.376,.373,93,6.6,38.7,10.1,8.1,49.9,59.8,19.1,48.2,19.9,29.1,2.8,28.7,
Martinez, J.D.,502110,2018,30,.619,.418,.383,93,10.8,40,16,8.8,52.7,74.7,29.3,44.4,25.6,27.9,2.1,26.7,
Goldschmidt, Paul,502671,2018,30,.533,.384,.373,90.8,15.7,37.1,13.6,9.3,44,61.9,26,38.8,22.9,29.5,8.8,26.8,
Gonzalez, Marwin,503556,2018,29,.413,.321,.322,89.1,11.3,35.7,6.8,8.9,41.5,61.4,29.8,43.5,23.5,27.3,5.7,26.4,
Altuve, Jose,514888,2018,28,.449,.352,.360,87.2,10.1,34,5.9,5.2,33.8,68,30.2,48.1,22.4,25.5,3.9,28.1,
Hernandez, Cesar,514917,2018,28,.352,.316,.350,85.8,11.5,30,4.2,2.9,28.6,58.6,18,49.1,23.1,22.5,5.3,29.2,
Segura, Jean,516416,2018,28,.393,.310,.313,87.7,7.8,30,3.6,4.2,32.3,66.4,32,53.1,19.5,21.1,6.3,27.9,
Castro, Starlin,516770,2018,28,.402,.311,.311,88.5,8.4,32,6.9,4.2,36.2,65,27.4,51.6,18.7,24.8,4.8,27.4,
Marte, Starling,516782,2018,29,.456,.335,.319,88.4,8.9,31.5,7.5,6.2,38.8,75.8,34.2,51.5,21.6,20.7,6.2,28.6,
Dietrich, Derek,518618,2018,28,.382,.303,.306,87.4,15.8,34.1,6.1,5.5,37.8,70.6,31.8,42.7,24.1,23.8,9.4,26.8,
Freeman, Freddie,518692,2018,28,.533,.388,.381,89.1,14.5,44.7,9.3,7.9,39.8,82.7,31.1,37,24,35.4,3.7,26.7,
Grandal, Yasmani,518735,2018,29,.438,.337,.335,88.9,14.1,32.9,11.6,7.2,40.4,57.6,19.8,41.1,27.6,22.3,9.1,24.5,
LeMahieu, DJ,518934,2018,29,.420,.326,.324,91.3,5.9,31.3,5.2,5.7,43.2,59.6,23.2,50.4,21.5,25.9,2.2,27.2,
Moustakas, Mike,519058,2018,29,.461,.336,.321,89.5,19.9,31.3,8.8,6.5,39.1,72.5,34.2,35.1,27.9,23.1,13.9,25.7,
Rizzo, Anthony,519203,2018,28,.470,.367,.386,90.1,14.7,36.2,6.5,7.1,40.6,68,29.7,38.8,25.5,28.3,7.5,25.6,
Stanton, Giancarlo,519317,2018,28,.477,.345,.325,93.7,11.7,30,15.1,7.9,50.8,66.4,28.7,45.2,23.1,21.6,10.1,27.8,
Galvis, Freddy,520471,2018,28,.341,.273,.276,88.6,13.7,32.3,3.9,6.1,28.9,67.9,35,42.6,25.5,26,5.8,26.8,
Perez, Salvador,521692,2018,28,.481,.336,.299,91.3,18,35.4,10.8,8.6,47.5,73,44.2,35.9,31,25.1,8.1,25.0,
Inciarte, Ender,542255,2018,27,.341,.296,.318,84.9,10.9,32.8,1.5,3.5,18.7,70,31,46.8,21.8,26,5.4,27.9,
Ozuna, Marcell,542303,2018,27,.497,.358,.332,91.5,10.8,30.3,9.7,6.9,45.1,72.3,27.8,47.7,23.9,21,7.4,27.8,
Villar, Jonathan,542340,2018,27,.351,.288,.293,88.5,3.2,27.2,5.1,4.8,36,72.2,27.8,57.4,15.1,22.7,4.8,27.7,
Aguilar, Jesus,542583,2018,28,.488,.356,.338,89.8,16.2,38.2,11.4,7.2,42.9,59.7,33.8,35.7,32,26.2,6.1,24.6,
Crawford, Brandon,543063,2018,31,.376,.305,.326,87.5,11.3,37.2,3.6,6.3,33.3,75.7,29.8,44.4,21,28.3,6.3,25.7,
Cron, C.J.,543068,2018,28,.483,.345,.319,88,15.2,34.3,12.2,6.1,36.6,69.6,34.9,41.6,23.5,23.8,11.1,26.3,
Hicks, Aaron,543305,2018,28,.465,.372,.382,89.7,13.2,34.2,8.8,7.2,43,65.1,18.2,41.4,26,24.4,8.2,28.1,
Hosmer, Eric,543333,2018,28,.374,.302,.312,88.7,-1.5,26.3,5.9,4,38.2,70.7,29.3,61,13.1,21,4.9,26.2,
Kipnis, Jason,543401,2018,31,.394,.318,.324,86.9,17.8,34.4,6.6,5,31.6,61.3,25.9,34.8,28.7,27.3,9.2,26.9,
Rendon, Anthony,543685,2018,28,.538,.384,.369,90.7,17.9,39.8,10.3,8.1,44.8,69.5,23.8,32.7,27.9,30.8,8.6,27.3,
