player,G
"Raleigh, Cal",114
"Isbel, Kyle",122
"Ramirez, Harold",113
"Donaldson, Josh",109
"Straw, Myles",122
"Ozuna, Marcell",112
"Baddoo, Akil",120
"Urias, Ramon",118
"Siri, Jose",122
"Grissom, Vaughn",124
"Olivares, Edward",111
"Castro, Rodolfo",110
"Allen, Nick",127
"Dozier, Hunter",113
"Walsh, Jared",109
"Mitchell, Garrett",115
"Villar, David",115
"Ruiz, Esteury",120
"Heim, Jonah",110
"McCormick, Chas",114
"Robles, Victor",121
"Carpenter, Kerry",110
"Massey, Michael",115
"Aguilar, Jesus",104
"Andrus, Elvis",106
"Duvall, Adam",106
"Rosario, Eddie",108
"Espinal, Santiago",105
"Colas, Oscar",106
"Sanchez, Jesus",105
"Jansen, Danny",108
"Peterson, Jace",102
"Cabrera, Oswaldo",100
"Thompson, Trayce",107
"Hosmer, Eric",103
"Turang, Brice",112
"Kirilloff, Alex",100
"Wade Jr., LaMonte",98
"Belt, Brandon",100
"Kiermaier, Kevin",105
"Longoria, Evan",103
"Suwinski, Jack",101
"Maldonado, Martin",109
"Yepez, Juan",98
"Davis, J.D.",96
"Senzel, Nick",98
"H. Smith, Josh",100
"Bleday, JJ",101
"Mondesi, Adalberto",96
"Anderson, Brian",96
"Maton, Nick",104
"Vazquez, Christian",104
"Dickerson, Corey",95
"Aranda, Jonathan",95
"Hicks, Aaron",95
"Bart, Joey",103
"Gorman, Nolan",94
"Pham, Tommy",86
"Stallings, Jacob",99
"Diaz, Elias",98
"Ahmed, Nick",102
"Stowers, Kyle",97
"Lopez, Nicky",101
"Garver, Mitch",88
"Walker, Jordan",88
"Hedges, Austin",99
"Cabrera, Miguel",91
"Carpenter, Matt",89
"Vogelbach, Daniel",91
"Profar, Jurickson",86
"Grossman, Robbie",85
"d’Arnaud, Travis",91
"Moore, Dylan",97
"Urshela, Gio",92
"Nola, Austin",91
"Grandal, Yasmani",90
"Trevino, Jose",94
"Cruz, Nelson",85
"Haase, Eric",87
"Thomas, Alek",87
"Peralta, David",86
"Sanchez, Gary",86
"Dubon, Mauricio",88
"Lewis, Kyle",83
"Zunino, Mike",90
"Harper, Bryce",65
"McGuire, Reese",93
"Lowe, Josh",87
"Fletcher, David",88
"Moreno, Gabriel",85
"Sheets, Gavin",87
"O’Hoppe, Logan",86
"Narvaez, Omar",90
"Arcia, Orlando",87
"Rivera, Emmanuel",85
"Kelly, Carson",85
"Thompson, Bubba",92
"Vierling, Matt",85
"Pollock, AJ",84
"Engel, Adam",84
"Arroyo, Christian",83
"A. Taylor, Michael",85
"Farmer, Kyle",86
"Newman, Kevin",86
"Call, Alex",80
"Rojas, Miguel",85
"Bethancourt, Christian",83
"Barnhart, Tucker",87
"Story, Trevor",64
"Hiura, Keston",78
"De La Cruz, Elly",74
"Berti, Jon",81
"Mateo, Jorge",87
"Mejia, Francisco",80
"Stassi, Max",81
"Campusano, Luis",79
"Garrett, Stone",81
"Volpe, Anthony",70
"Peraza, Oswald",78
"Gomes, Yan",78
"Meyers, Jake",77
"Hwan Bae, Ji",80
"Outman, James",80
"Sosa, Lenyn",75
"Duran, Ezequiel",80
"Slater, Austin",71
"Miller, Brad",76
"Caratini, Victor",73
"Pratto, Nick",70
"Gamel, Ben",70
"Pinder, Chad",70
"Brennan, Will",73
"Odor, Rougned",72
"Kiner-Falefa, Isiah",75
"Calhoun, Kole",70
"Wisdom, Patrick",71
"Larnach, Trevor",70
"Jones, Nolan",69
"Mitchell, Cal",61
"Velazquez, Nelson",73
"Naylor, Bo",72
"Groshans, Jordan",73
"Eaton, Nate",73
"Solano, Donovan",68
"Biggio, Cavan",70
"Gonzalez, Romy",73
"Walls, Taylor",71
"Fortes, Nick",72
"Noda, Ryan",73
"Alfaro, Jorge",70
"Hall, Darick",65
"Pache, Cristian",72
"Jeffers, Ryan",70
"Joe, Connor",69
"Montero, Elehuris",65
"Sosa, Edmundo",68
"Guillorme, Luis",65
"Naquin, Tyler",63
"Lewis, Royce",55
"Iglesias, Jose",64
"Pina, Manny",68
"Nido, Tomas",68
"Mervis, Matt",58
"Fairchild, Stuart",65
"Serven, Brian",65
"Bradley Jr., Jackie",65
"Rios, Edwin",62
"Hernandez, Cesar",58
"Toglia, Michael",56
"Gurriel, Yuli",57
"Bouchard, Sean",60
"Murphy, Tom",63
"Voit, Luke",56
"Barnes, Austin",61
"McCann, James",62
"Perez, Roberto",61
"Perdomo, Geraldo",60
"Higashioka, Kyle",59
"Dalbec, Bobby",58
"Harrison, Josh",58
"Brosseau, Mike",55
"Zavala, Seby",61
"La Stella, Tommy",55
"DeJong, Paul",57
"Barrero, Jose",57
"Adams, Riley",59
"Sands, Donny",58
"Chirinos, Robinson",57
"Guthrie, Dalton",58
"Alu, Jake",58
"Vargas, Ildemaro",58
"Benson, Will",52
"Casali, Curt",56
"Ruf, Darin",50
"Castro, Harold",51
"Solak, Nick",50
"Freeman, Tyler",51
"Smith, Kevin",48
"Duran, Jarren",44
"Azocar, Jose",51
"Dixon, Brandon",51
"Lee, Korey",51
"Luplow, Jordan",50
"Refsnyder, Rob",49
"Knizner, Andrew",51
"Garcia, Leury",50
"Haggerty, Sam",50
"Duffy, Matt",48
"Stubbs, Garrett",51
"Maile, Luke",50
"Rodriguez, Endy",43
"Kieboom, Carter",45
"Burger, Jake",40
"Brujan, Vidal",41
"Capel, Conner",43
"Arias, Gabriel",39
"Frelick, Sal",38
"Alvarez, Francisco",39
"Diaz, Isan",36
"Nevin, Tyler",41
"Wong, Connor",39
"Reyes, Franmil",37
"Trammell, Taylor",40
"McKinstry, Zach",34
"Baty, Brett",33
"Culberson, Charlie",34
"Moniak, Mickey",34
"Kreidler, Ryan",35
"Alberto, Hanser",34
"Heineman, Tyler",37
"Tapia, Raimel",31
"Rogers, Jake",33
"Hensley, David",31
"Celestino, Gilberto",31
"Mazara, Nomar",27
"Toro, Abraham",26
"Wallner, Matt",28
"Raley, Luke",27
"Ortiz, Joey",28
"Cano, Robinson",26
"Reyes, Victor",29
"Hilliard, Sam",26
"Siani, Michael",26
"Sano, Miguel",25
"Ibanez, Andy",26
"Madrigal, Nick",26
"Villar, Jonathan",26
"Pillar, Kevin",25
"Gregorius, Didi",25
"McKenna, Ryan",27
"Herrera, Odubel",26
"Smith, Pavin",24
"Mathias, Mark",26
"Marcano, Tucupita",26
"Smith-Njigba, Canaan",26
"Strange-Gordon, Dee",26
"Phillips, Brett",26
"Chang, Yu",26
"Moustakas, Mike",25
"Upton, Justin",26
"Pinto, Rene",26
"Tsutsugo, Yoshi",25
"Soderstrom, Tyler",26
"Ortega, Rafael",26
"Jankowski, Travis",25
"Plawecki, Kevin",26
"Heyward, Jason",25
"Gonzalez, Luis",25
"Mendick, Danny",25
"Frazier, Jackson",25
"Escobar, Alcides",26
"Simmons, Andrelton",25
"Hill, Derek",24
"Trejo, Alan",23
"Taylor, Samad",23
"Hummel, Cooper",22
"Camargo, Johan",22
"Westburg, Jordan",21
"Fermin, Jose",19
"Mauricio, Ronny",19
"Reynolds, Matt",18
"Ford, Mike",19
"Gonzalez, Marwin",19
"Andujar, Miguel",18
"Sierra, Magneuris",19
"White, Evan",18
"Lopez, Alejo",19
"Proctor, Ford",19
"Dickerson, Alex",18
"Brinson, Lewis",19
"Moran, Colin",18
"Leon, Sandy",19
"Aquino, Aristides",18
"Neuse, Sheldon",19
"Burleson, Alec",18
"Madris, Bligh",18
"Torrens, Luis",18
"Calhoun, Willie",18
"Chavis, Michael",18
"Wiemer, Joey",18
"Suzuki, Kurt",18
"Garcia, Aramis",18
"Vogt, Stephen",18
"Lamb, Jake",18
"Velazquez, Andrew",18
